"","genes","p.value","p.value.adj","seedPct","queryPct","logFC","seedTerritory","queryTerritory"
"2","Cmss1",0,0,0.760348583877996,0.546171644930585,0.406708874276061,"14 13","5 7"
"6","Gas5",0,0,0.281045751633987,0.49526714345814,-0.275240813931165,"14 13","5 7"
"8","Ifitm3",0,0,0.148366013071895,0.408708456037021,-0.251227286642617,"14 13","5 7"
"11","Malat1",0,0,0.943790849673203,0.975073622212873,-0.436628005585569,"14 13","5 7"
"22","mt-Nd1",0,0,0.980174291938998,0.928165755153555,0.278172468688422,"14 13","5 7"
"5","Fth1",2.19128983374801e-318,4.16345068412123e-317,0.847494553376906,0.928586453512831,-0.383141033602156,"14 13","5 7"
"16","Rpl8",2.15794460113054e-304,3.88430028203497e-303,0.516557734204793,0.722970130416491,-0.418973400938727,"14 13","5 7"
"9","Lars2",9.48643893451143e-263,1.61269461886694e-261,0.526579520697168,0.335401766933109,0.279349674749539,"14 13","5 7"
"13","Ncl",1.42214256191235e-256,2.27542809905976e-255,0.769498910675381,0.593289861169541,0.258466141541755,"14 13","5 7"
"24","mt-Rnr2",9.49657682397794e-252,1.42448652359669e-250,0.988453159041394,0.958035338662179,0.303113573351916,"14 13","5 7"
"4","Emp1",6.22134207982513e-220,8.70987891175518e-219,0.569716775599129,0.285128312999579,0.325001630903559,"14 13","5 7"
"21","mt-Cytb",1.04275870564114e-218,1.35558631733348e-217,0.938562091503268,0.826461926798486,0.315015308678316,"14 13","5 7"
"10","Lgals1",1.59592611911985e-215,1.91511134294382e-214,0.722657952069717,0.809318468657972,-0.392493982179739,"14 13","5 7"
"20","Vim",1.57515071568988e-210,1.73266578725886e-209,0.693464052287582,0.484749684476231,0.293939446462709,"14 13","5 7"
"23","mt-Nd2",7.51206085736213e-209,7.51206085736213e-208,0.720697167755991,0.496844762305427,0.257357165969298,"14 13","5 7"
"3","Ctnnb1",2.81676973101581e-197,2.53509275791423e-196,0.549891067538126,0.234749684476231,0.32475195823502,"14 13","5 7"
"19","Tmsb4x",2.23526579534874e-196,1.78821263627899e-195,0.859477124183007,0.686474547749264,0.284240462601896,"14 13","5 7"
"17","Rps24",1.05505299536715e-161,7.38537096757003e-161,0.390849673202614,0.608329827513673,-0.350797728586397,"14 13","5 7"
"14","Nrn1",5.06271101609135e-156,3.03762660965481e-155,0.398474945533769,0.103071098022718,0.253143939548552,"14 13","5 7"
"7","Hsp90ab1",5.44547621278386e-104,2.72273810639193e-103,0.876252723311547,0.695624737063525,0.384763946558095,"14 13","5 7"
"1","Actb",1.07851814903088e-93,4.3140725961235e-93,0.858823529411765,0.679007151872108,0.2958209663531,"14 13","5 7"
"15","Rpl13",2.26270859834895e-70,6.78812579504686e-70,0.212854030501089,0.483382414808582,-0.308231613947878,"14 13","5 7"
"12","Msn",2.2552032549913e-54,4.51040650998259e-54,0.410675381263617,0.0912915439629785,0.270982536108883,"14 13","5 7"
"18","S100a4",1.38489765016003e-37,1.38489765016003e-37,0.23921568627451,0.62147665124106,-0.539179093914976,"14 13","5 7"
