"","genes","p.value","p.value.adj","seedPct","queryPct","logFC","seedTerritory","queryTerritory"
"18","Pzp",6.32382141345648e-67,1.32800249682586e-65,0.421511627906977,0.168314186481432,0.282180034232594,"8","9"
"7","Clu",1.84428451881252e-65,3.68856903762504e-64,0.726744186046512,0.588565321934277,0.285374660750842,"8","9"
"13","Hp",5.70048914913466e-65,1.08309293833559e-63,0.861918604651163,0.556772642265562,0.748054250232749,"8","9"
"1","Ahsg",1.59664571180556e-62,2.87396228125001e-61,0.82703488372093,0.535399412236174,0.657882466243499,"8","9"
"17","Lcn2",5.26254186168112e-62,8.9463211648579e-61,0.402616279069767,0.115415442158696,0.327077686573998,"8","9"
"6","C3",1.53562588563188e-61,2.45700141701101e-60,0.604651162790698,0.296553566657761,0.397673892183041,"8","9"
"2","Alb",8.95662644332176e-58,1.34349396649826e-56,0.867732558139535,0.635319262623564,0.617478301374161,"8","9"
"21","Ttr",6.33154232184918e-57,8.86415925058886e-56,0.738372093023256,0.530323270104194,0.330307506350121,"8","9"
"3","Ambp",4.95769803072947e-55,6.44500743994831e-54,0.537790697674419,0.255944429601924,0.305890933602661,"8","9"
"16","Kng1",1.88500896009158e-53,2.26201075210989e-52,0.481104651162791,0.216136788672188,0.281895319285379,"8","9"
"20","Trf",3.07808068608779e-52,3.38588875469657e-51,0.824127906976744,0.5065455516965,0.706151001631892,"8","9"
"8","Cp",1.92941038376379e-51,1.92941038376379e-50,0.571220930232558,0.243921987710393,0.465352294991069,"8","9"
"11","Fgl1",2.07138771779085e-50,1.86424894601176e-49,0.565406976744186,0.272508682874699,0.332776388716663,"8","9"
"15","Hsp90ab1",6.7706756035321e-48,5.41654048282568e-47,0.79796511627907,0.900347314987978,-0.256031705404589,"8","9"
"10","Fgg",3.57597158822732e-46,2.50318011175913e-45,0.799418604651163,0.51162169382848,0.480951345958204,"8","9"
"5","Apoe",1.64603710589249e-45,9.87622263535494e-45,0.869186046511628,0.633181939620625,0.529412239578827,"8","9"
"9","Fgb",4.10645912546454e-43,2.05322956273227e-42,0.824127906976744,0.546353192626236,0.644998127584942,"8","9"
"12","Gc",2.14451940547042e-41,8.5780776218817e-41,0.712209302325581,0.41170184344109,0.445657299300523,"8","9"
"4","Apoa1",2.65379342735153e-40,7.96138028205459e-40,0.716569767441861,0.428533262089233,0.469094035284262,"8","9"
"14","Hpx",2.15496520975497e-39,4.30993041950993e-39,0.671511627906977,0.382580817526049,0.438603703704851,"8","9"
"19","S100a6",4.82133417707848e-23,4.82133417707848e-23,0.611918604651163,0.817258883248731,-0.344727475872748,"8","9"
