"","bin_ind","bin_start","bin_end","chr_ind","p.value","p.value.adj","seedPct","queryPct","logFC","seedTerritory","queryTerritory"
"1",483,103000000,104000000,3,1.56945163450522e-12,1.83625841237111e-10,0.456047587574356,0.315924657534247,0.33138336019657,"7 6","2"
"2",869,19000000,20000000,6,2.73995074813669e-12,2.98654631546899e-10,0.307997356245869,0.186643835616438,0.250251419765539,"7 6","2"
"3",879,29000000,30000000,6,2.29279433440527e-13,3.09527235144712e-11,0.459352280237938,0.32791095890411,0.336582112684145,"7 6","2"
"4",881,31000000,32000000,6,2.01081605411357e-12,2.27222214114834e-10,0.492399206873761,0.357020547945205,0.33756809050613,"7 6","2"
"5",901,51000000,52000000,6,4.16301706518643e-12,4.45442825974948e-10,0.436880370125578,0.304794520547945,0.315390552018627,"7 6","2"
"6",904,54000000,55000000,6,7.5679270920372e-13,9.23287105228538e-11,0.463317911434237,0.315924657534247,0.326869749214403,"7 6","2"
"7",921,71000000,72000000,6,6.24766688627103e-15,9.68388367372009e-13,0.432253800396563,0.277397260273973,0.350728312812978,"7 6","2"
"8",922,72000000,73000000,6,1.24530979808132e-14,1.89287089308361e-12,0.481163251817581,0.335616438356164,0.36127248585452,"7 6","2"
"9",937,87000000,88000000,6,5.05916634661961e-19,9.05590776044911e-17,0.510244547257105,0.347602739726027,0.432209845359436,"7 6","2"
"10",938,88000000,89000000,6,1.46743300396649e-16,2.4652874466637e-14,0.502974223397224,0.345890410958904,0.406174173706138,"7 6","2"
"11",975,125000000,126000000,6,3.95549078708691e-13,5.10258311534211e-11,0.46463978849967,0.529109589041096,-0.3567900869273,"7 6","2"
"12",991,141000000,142000000,6,2.10538323360612e-12,2.3369753893028e-10,0.391275611368143,0.466609589041096,-0.359046001736811,"7 6","2"
"13",1230,84000000,85000000,8,2.24851047167557e-14,3.32779549807985e-12,0.518175809649703,0.377568493150685,0.398281771360281,"7 6","2"
"14",1269,123000000,124000000,8,3.08525315051516e-34,6.29391642705092e-32,0.587574355584931,0.393835616438356,0.626393040961513,"7 6","2"
"15",1585,53000000,54000000,11,5.97172253102798e-14,8.5992804446803e-12,0.452081956378057,0.303082191780822,0.34043904606174,"7 6","2"
"16",1591,59000000,60000000,11,9.62750214242772e-13,1.15530025709133e-10,0.480502313284865,0.345890410958904,0.342636697910225,"7 6","2"
"17",1592,60000000,61000000,11,3.37692251999816e-12,3.64707632159801e-10,0.467283542630535,0.332191780821918,0.313596232566851,"7 6","2"
"18",1602,70000000,71000000,11,2.07143001648233e-12,2.32000161846021e-10,0.471910112359551,0.337328767123288,0.332284260129154,"7 6","2"
"19",1604,72000000,73000000,11,8.24251401846514e-15,1.26934715884363e-12,0.439524124256444,0.297945205479452,0.350823209217816,"7 6","2"
"20",1610,78000000,79000000,11,8.57455572895033e-15,1.3119070265294e-12,0.49438202247191,0.340753424657534,0.368359143251312,"7 6","2"
"21",1611,79000000,80000000,11,8.3522839577051e-13,1.01062635888232e-10,0.476536682088566,0.336472602739726,0.354338912091931,"7 6","2"
"22",1626,94000000,95000000,11,5.12712898314566e-13,6.51145380859499e-11,0.450760079312624,0.3125,0.322834441942239,"7 6","2"
"23",1627,95000000,96000000,11,3.181393401311e-13,4.23125322374364e-11,0.489094514210178,0.344178082191781,0.345397880950603,"7 6","2"
"24",1628,96000000,97000000,11,6.36294791911662e-13,7.89005541970461e-11,0.415730337078652,0.281678082191781,0.305869841333302,"7 6","2"
"25",1629,97000000,98000000,11,1.38224667301809e-16,2.33599687740057e-14,0.498347653668209,0.340753424657534,0.402596124638954,"7 6","2"
