Gene stable ID,Gene start (bp),Gene end (bp),Gene description,Gene name,Gene type,Chromosome/scaffold name,Strand
ENSMUSG00000037593,78290841,78296805,cDNA sequence BC030499 [Source:MGI Symbol;Acc:MGI:2652869],BC030499,protein_coding,11,1
ENSMUSG00000087295,78292848,78293956,predicted gene 3948 [Source:MGI Symbol;Acc:MGI:3782122],Gm3948,processed_transcript,11,-1
ENSMUSG00000032691,59541568,59566956,"NLR family, pyrin domain containing 3 [Source:MGI Symbol;Acc:MGI:2653833]",Nlrp3,protein_coding,11,1
ENSMUSG00000053783,75999912,76003569,RIKEN cDNA 1700016K19 gene [Source:MGI Symbol;Acc:MGI:1921480],1700016K19Rik,protein_coding,11,1
ENSMUSG00000014349,96047432,96065388,ubiquitin-conjugating enzyme E2Z [Source:MGI Symbol;Acc:MGI:1343160],Ube2z,protein_coding,11,-1
ENSMUSG00000002055,78301529,78322457,sperm associated antigen 5 [Source:MGI Symbol;Acc:MGI:1927470],Spag5,protein_coding,11,1
ENSMUSG00000020790,72690006,72772146,ankyrin repeat and FYVE domain containing 1 [Source:MGI Symbol;Acc:MGI:1337008],Ankfy1,protein_coding,11,1
ENSMUSG00000006057,96068852,96075670,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9) [Source:MGI Symbol;Acc:MGI:107653]",Atp5g1,protein_coding,11,-1
ENSMUSG00000075510,102885169,102886731,"family with sequence similarity 187, member A [Source:MGI Symbol;Acc:MGI:1914034]",Fam187a,protein_coding,11,1
ENSMUSG00000020930,102881204,102885216,coiled-coil domain containing 103 [Source:MGI Symbol;Acc:MGI:1920543],Ccdc103,protein_coding,11,1
ENSMUSG00000020932,102887336,102900912,glial fibrillary acidic protein [Source:MGI Symbol;Acc:MGI:95697],Gfap,protein_coding,11,-1
ENSMUSG00000051378,102905529,102925124,kinesin family member 18B [Source:MGI Symbol;Acc:MGI:2446979],Kif18b,protein_coding,11,-1
ENSMUSG00000038195,75510094,75513168,Rab interacting lysosomal protein [Source:MGI Symbol;Acc:MGI:2144271],Rilp,protein_coding,11,1
ENSMUSG00000006056,96099326,96111964,calcium binding and coiled-coil domain 2 [Source:MGI Symbol;Acc:MGI:1343177],Calcoco2,protein_coding,11,-1
ENSMUSG00000038756,96133786,96165451,"tubulin tyrosine ligase-like family, member 6 [Source:MGI Symbol;Acc:MGI:2683461]",Ttll6,protein_coding,11,1
ENSMUSG00000038188,75513540,75526582,"scavenger receptor class F, member 1 [Source:MGI Symbol;Acc:MGI:2449455]",Scarf1,protein_coding,11,1
ENSMUSG00000087434,79607079,79623163,"RAB11 family interacting protein 4 (class II), opposite strand 1 [Source:MGI Symbol;Acc:MGI:3650027]",Rab11fip4os1,antisense_RNA,11,-1
ENSMUSG00000086569,79670372,79675128,"RAB11 family interacting protein 4 (class II), opposite strand 2 [Source:MGI Symbol;Acc:MGI:1925439]",Rab11fip4os2,antisense_RNA,11,-1
ENSMUSG00000017639,79591212,79698023,RAB11 family interacting protein 4 (class II) [Source:MGI Symbol;Acc:MGI:2442920],Rab11fip4,protein_coding,11,1
ENSMUSG00000017390,78322968,78327781,"aldolase C, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:101863]",Aldoc,protein_coding,11,1
ENSMUSG00000084068,97096933,97097326,predicted gene 11573 [Source:MGI Symbol;Acc:MGI:3649590],Gm11573,processed_pseudogene,11,1
