"","bin_ind","bin_start","bin_end","chr_ind","p.value","p.value.adj","seedPct","queryPct","logFC","seedTerritory","queryTerritory"
"1",346,149000000,150000000,2,0,0,0.986971719097553,0.988631264023934,-0.252528911941434,"6 7","2"
"2",359,162000000,163000000,2,0,0,0.985912509268086,0.983694839192221,-0.286602882189271,"6 7","2"
"3",375,178000000,179000000,2,0,0,0.983688168626205,0.975317875841436,-0.282153643655715,"6 7","2"
"4",389,9000000,10000000,3,0,0,0.99385658298909,0.995661929693343,-0.322299518983914,"6 7","2"
"5",390,10000000,11000000,3,0,0,0.987819086961127,0.98997756170531,-0.251283991311523,"6 7","2"
"6",483,103000000,104000000,3,0,0,0.998305264272852,0.974270755422588,0.279771958296986,"6 7","2"
"7",506,126000000,127000000,3,0,0,0.975214489990467,0.988182498130142,-0.341115813181339,"6 7","2"
"8",523,143000000,144000000,3,0,0,0.9870776400805,0.985340314136126,-0.265356288125348,"6 7","2"
"9",527,147000000,148000000,3,0,0,0.9870776400805,0.989827973074046,-0.279806370537268,"6 7","2"
"10",529,149000000,150000000,3,0,0,0.987289482046393,0.987434554973822,-0.33578041863427,"6 7","2"
"11",534,154000000,155000000,3,0,0,0.984005931575045,0.99850411368736,-0.283299714555355,"6 7","2"
"12",537,157000000,158000000,3,0,0,0.99290329414257,0.992969334330591,-0.285468827083424,"6 7","2"
"13",546,5000000,6000000,4,0,0,0.969176993962504,0.985938668661182,-0.314322484200306,"6 7","2"
"14",547,6000000,7000000,4,0,0,0.972460544433852,0.98997756170531,-0.359748573989961,"6 7","2"
"15",548,7000000,8000000,4,0,0,0.942273064294037,0.957666417352281,-0.29059189059478,"6 7","2"
"16",549,8000000,9000000,4,0,0,0.976909225717615,0.987135377711294,-0.27765375836034,"6 7","2"
"17",550,9000000,10000000,4,0,0,0.979133566359496,0.988780852655198,-0.289362054818431,"6 7","2"
"18",551,10000000,11000000,4,0,0,0.939625039720369,0.97397157816006,-0.382640157138742,"6 7","2"
"19",552,11000000,12000000,4,0,0,0.992373689227836,0.989678384442782,-0.29882028647366,"6 7","2"
"20",553,12000000,13000000,4,0,0,0.957207922889524,0.962004487658938,-0.292025166865846,"6 7","2"
"21",555,14000000,15000000,4,0,0,0.971189492638492,0.970231862378459,-0.277586063031859,"6 7","2"
"22",556,15000000,16000000,4,0,0,0.972884228365639,0.979955123410621,-0.270674374918396,"6 7","2"
"23",559,18000000,19000000,4,0,0,0.969282914945451,0.976514584891548,-0.272737718000049,"6 7","2"
"24",560,19000000,20000000,4,0,0,0.965151996610529,0.976664173522812,-0.271694373840294,"6 7","2"
"25",563,22000000,23000000,4,0,0,0.953500688486389,0.976664173522812,-0.32348481928029,"6 7","2"
"26",565,24000000,25000000,4,0,0,0.939413197754475,0.978459237097981,-0.342135667816618,"6 7","2"
"27",569,28000000,29000000,4,0,0,0.961126999258553,0.976364996260284,-0.309151253523628,"6 7","2"
"28",571,30000000,31000000,4,0,0,0.953288846520496,0.969932685115931,-0.278423243986161,"6 7","2"
"29",573,32000000,33000000,4,0,0,0.981463827984324,0.986686611817502,-0.279226540921593,"6 7","2"
"30",577,36000000,37000000,4,0,0,0.951700031776295,0.971877337322363,-0.291467557751789,"6 7","2"
"31",580,39000000,40000000,4,0,0,0.958055290753098,0.963350785340314,-0.286941470389869,"6 7","2"
"32",581,40000000,41000000,4,0,0,0.987183561063447,0.992670157068063,-0.284729400080557,"6 7","2"
"33",582,41000000,42000000,4,0,0,0.96737633725241,0.974569932685116,-0.282492698071959,"6 7","2"
"34",584,43000000,44000000,4,0,0,0.984535536489779,0.985789080029918,-0.325425125212221,"6 7","2"
"35",585,44000000,45000000,4,0,0,0.984641457472725,0.985938668661182,-0.257939634819158,"6 7","2"
"36",588,47000000,48000000,4,0,0,0.988454612858807,0.98848167539267,-0.280190867948943,"6 7","2"
"37",589,48000000,49000000,4,0,0,0.975532252939307,0.969035153328347,-0.277909860077404,"6 7","2"
"38",590,49000000,50000000,4,0,0,0.96218620908802,0.973522812266268,-0.343298653441388,"6 7","2"
"39",591,50000000,51000000,4,0,0,0.946086219680119,0.967090501121915,-0.304785059296482,"6 7","2"
"40",592,51000000,52000000,4,0,0,0.962609893019807,0.975018698578908,-0.2628093843841,"6 7","2"
"41",593,52000000,53000000,4,0,0,0.960491473360873,0.972026925953627,-0.336498273449092,"6 7","2"
"42",594,53000000,54000000,4,0,0,0.981357907001377,0.986088257292446,-0.32968208422063,"6 7","2"
"43",595,54000000,55000000,4,0,0,0.943755958055291,0.979356768885565,-0.363516351838613,"6 7","2"
