"","bin_ind","bin_start","bin_end","chr_ind","p.value","p.value.adj","seedPct","queryPct","logFC","seedTerritory","queryTerritory"
"1",551,10000000,11000000,4,0,0,0.939625039720369,0.971598104128225,-0.278064696518117,"6 7","remaining"
"2",559,18000000,19000000,4,0,0,0.969282914945451,0.982054343500127,-0.28074684256404,"6 7","remaining"
"3",564,23000000,24000000,4,0,0,0.957419764855418,0.982126705018271,-0.286548276334648,"6 7","remaining"
"4",568,27000000,28000000,4,0,0,0.950958584895668,0.978761894424545,-0.291563759958861,"6 7","remaining"
"5",571,30000000,31000000,4,0,0,0.953288846520496,0.976989037230001,-0.278973541369138,"6 7","remaining"
"6",579,38000000,39000000,4,0,0,0.917487554284504,0.956185100763414,-0.27382625974087,"6 7","remaining"
"7",580,39000000,40000000,4,0,0,0.958055290753098,0.974673468649372,-0.260296440317894,"6 7","remaining"
"8",591,50000000,51000000,4,0,0,0.946086219680119,0.974564926372155,-0.267113429997533,"6 7","remaining"
"9",592,51000000,52000000,4,0,0,0.962609893019807,0.977169941025363,-0.267651463701531,"6 7","remaining"
"10",879,29000000,30000000,6,0,0,0.996822370511598,0.986721661420457,0.287269445312825,"6 7","remaining"
"11",880,30000000,31000000,6,0,0,0.998517106238746,0.980570932378161,0.296365334081114,"6 7","remaining"
"12",881,31000000,32000000,6,0,0,0.99968223705116,0.989181953037375,0.260557465247338,"6 7","remaining"
"13",884,34000000,35000000,6,0,0,0.99904671115348,0.989001049242013,0.296505140519338,"6 7","remaining"
"14",901,51000000,52000000,6,0,0,0.998093422306959,0.980209124787438,0.271177187812818,"6 7","remaining"
"15",933,83000000,84000000,6,0,0,0.998940790170533,0.986830203697674,0.294246725721017,"6 7","remaining"
"16",934,84000000,85000000,6,0,0,0.99904671115348,0.989290495314592,0.262643167382617,"6 7","remaining"
"17",937,87000000,88000000,6,0,0,1,0.992365859835739,0.402746404404392,"6 7","remaining"
"18",938,88000000,89000000,6,0,0,0.999788158034107,0.994138717030283,0.270711324929226,"6 7","remaining"
"19",1029,29000000,30000000,7,0,0,0.998623027221693,0.989616122146243,0.266542492747182,"6 7","remaining"
"20",1171,25000000,26000000,8,0,0,0.999576316068213,0.992402040594812,0.270957070406525,"6 7","remaining"
"21",1230,84000000,85000000,8,0,0,0.999894079017053,0.993993993993994,0.34492362150914,"6 7","remaining"
"22",1246,100000000,101000000,8,0,0,0.967588179218303,0.983718658417454,-0.278015492386629,"6 7","remaining"
"23",1248,102000000,103000000,8,0,0,0.957207922889524,0.9803900285828,-0.285476266627015,"6 7","remaining"
"24",1269,123000000,124000000,8,0,0,0.99968223705116,0.996454285610912,0.528146501119378,"6 7","remaining"
"25",1399,123000000,124000000,9,0,0,0.966105285457049,0.983718658417454,-0.250599808715316,"6 7","remaining"
"26",1591,59000000,60000000,11,0,0,0.999788158034107,0.988711603169435,0.262236243545233,"6 7","remaining"
