"","bin_ind","bin_start","bin_end","chr_ind","p.value","p.value.adj","seedPct","queryPct","logFC","seedTerritory","queryTerritory"
"1",937,87000000,88000000,6,4.44675878695588e-42,1.15615728460853e-40,0.348958333333333,0.238500702247191,0.341340758711233,"12 13","remaining"
"2",1230,84000000,85000000,8,6.0678388929879e-28,5.46105500368911e-27,0.352719907407407,0.263254915730337,0.283569063557506,"12 13","remaining"
"3",1269,123000000,124000000,8,4.84179706896707e-75,1.69462897413848e-73,0.425925925925926,0.276773174157303,0.50070097258359,"12 13","remaining"
"4",2049,27000000,28000000,15,1.03726051579526e-36,2.17824708317005e-35,0.321180555555556,0.220242275280899,0.304710777388729,"12 13","remaining"
"5",2058,36000000,37000000,15,9.59528830002614e-33,1.7271518940047e-31,0.310763888888889,0.21875,0.294628009721396,"12 13","remaining"
"6",2059,37000000,38000000,15,1.86853530290445e-27,1.12112118174267e-26,0.293981481481481,0.209094101123595,0.256444377696917,"12 13","remaining"
"7",2060,38000000,39000000,15,2.09974666134892e-32,3.35959465815828e-31,0.305266203703704,0.214624297752809,0.286384802341281,"12 13","remaining"
"8",2062,40000000,41000000,15,1.31317524440619e-27,1.05054019552495e-26,0.276909722222222,0.193995786516854,0.250284783902858,"12 13","remaining"
"9",2076,54000000,55000000,15,1.81424939218794e-29,2.17709927062553e-28,0.289641203703704,0.201808286516854,0.258589478962965,"12 13","remaining"
"10",2080,58000000,59000000,15,4.98008395552477e-50,1.54382602621268e-48,0.366319444444444,0.245523174157303,0.38338468533517,"12 13","remaining"
"11",2081,59000000,60000000,15,4.17679832370589e-44,1.12773554740059e-42,0.377025462962963,0.262552668539326,0.363353398761079,"12 13","remaining"
"12",2083,61000000,62000000,15,8.62582004916937e-33,1.63890580934218e-31,0.306134259259259,0.214185393258427,0.285423739334284,"12 13","remaining"
"13",2084,62000000,63000000,15,2.92009017824746e-33,5.84018035649492e-32,0.331018518518519,0.234989466292135,0.302230773155717,"12 13","remaining"
"14",2086,64000000,65000000,15,7.65095504559226e-30,9.94624155926994e-29,0.323206018518519,0.231478230337079,0.277687950518725,"12 13","remaining"
"15",2088,66000000,67000000,15,6.05205824369761e-32,8.47288154117666e-31,0.303819444444444,0.21313202247191,0.287230024140583,"12 13","remaining"
"16",2095,73000000,74000000,15,1.07893545142555e-25,4.31574180570218e-25,0.320891203703704,0.237359550561798,0.263670628905856,"12 13","remaining"
"17",2098,76000000,77000000,15,1.39494246079203e-62,4.74280436669291e-61,0.415509259259259,0.277387640449438,0.453417545085018,"12 13","remaining"
"18",2099,77000000,78000000,15,1.18964774024093e-41,2.85515457657823e-40,0.342303240740741,0.235165028089888,0.340808363993787,"12 13","remaining"
"19",2100,78000000,79000000,15,3.04953718316078e-32,4.57430577474117e-31,0.369502314814815,0.272998595505618,0.311481001399291,"12 13","remaining"
"20",2101,79000000,80000000,15,7.38535300925752e-42,1.84633825231438e-40,0.381365740740741,0.269838483146067,0.365896830517504,"12 13","remaining"
"21",2102,80000000,81000000,15,1.52693275077596e-44,4.27541170217269e-43,0.369502314814815,0.257461376404494,0.364148344405685,"12 13","remaining"
"22",2103,81000000,82000000,15,6.9343491878735e-45,2.01096126448332e-43,0.39380787037037,0.279845505617978,0.383666166080443,"12 13","remaining"
"23",2105,83000000,84000000,15,7.5266318012229e-39,1.65585899626904e-37,0.359375,0.252633426966292,0.337865121162099,"12 13","remaining"
"24",2106,84000000,85000000,15,1.17254913164247e-28,1.17254913164247e-27,0.323784722222222,0.236042837078652,0.278106732863762,"12 13","remaining"
"25",2107,85000000,86000000,15,1.52287275182103e-52,4.87319280582731e-51,0.381076388888889,0.259919241573034,0.404505276591019,"12 13","remaining"
"26",2108,86000000,87000000,15,1.52920253821658e-25,4.58760761464973e-25,0.318576388888889,0.234111657303371,0.257954533827601,"12 13","remaining"
"27",2110,88000000,89000000,15,5.56520629451863e-27,2.78260314725931e-26,0.306134259259259,0.220856741573034,0.257621119588056,"12 13","remaining"
"28",2111,89000000,90000000,15,1.35828536299944e-27,1.05054019552495e-26,0.297743055555556,0.215063202247191,0.260478970888449,"12 13","remaining"
"29",2120,98000000,99000000,15,1.11462433177172e-32,1.89486136401193e-31,0.334780092592593,0.239729634831461,0.299727429585085,"12 13","remaining"
"30",2121,99000000,100000000,15,9.77126361460292e-62,3.22451699281897e-60,0.390335648148148,0.255530196629214,0.438940951250152,"12 13","remaining"
"31",2122,100000000,101000000,15,1.97755356356083e-29,2.17709927062553e-28,0.33130787037037,0.240519662921348,0.281192162116137,"12 13","remaining"
"32",2123,101000000,102000000,15,3.96252768247449e-39,9.11381366969133e-38,0.357638888888889,0.250438904494382,0.337984445520933,"12 13","remaining"
"33",2124,102000000,103000000,15,6.81520556602364e-48,2.04456166980709e-46,0.376736111111111,0.25904143258427,0.38428415026324,"12 13","remaining"
"34",2417,5000000,6000000,19,8.45543705639264e-24,1.69108741127853e-23,0.402777777777778,0.319785814606742,0.281030683599162,"12 13","remaining"
"35",2457,45000000,46000000,19,6.7661358487597e-23,6.7661358487597e-23,0.333622685185185,0.25684691011236,0.258847131682379,"12 13","remaining"
